Restaurant Name,Cuisine,Rating,Number of Ratings,Average Price,Number of Offers,Offer Name,Area,Pure Veg,Location
Sparrow Italian Pizza,"Burgers, Pizzas",4.0,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Kurnool,No,Kurnool
Home Kitchen,"Chinese, Pizzas",4.0,,297,2,"15% OFF UPTO ₹45
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sampath Nagar,No,Kurnool
Fried Wings Kurnool,"Pizzas, Burgers",3.7,,199,2,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Kurnool,No,Kurnool
Cafe Madrassi - Sandwich Square,"Arabian, Pizzas",4.2,,200,4,"15% OFF UPTO ₹45
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹1200, SAVE BIG
15% OFF UPTO ₹100
USE JUMBOABOVE ₹500, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Kurnool,No,Kurnool
Zoop Cafe Kurnool,"Pizzas, Snacks",4.0,,199,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sampath Nagar,Yes,Kurnool
Hunger Monks,"Pizzas, Burgers",4.4,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sampath Nagar,No,Kurnool
Chocolate Room,"Pizzas, Continental",3.5,,200,2,"SAVE BIG
10% OFF UPTO ₹100
USE JUMBOABOVE ₹400, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Kurnool,No,Kurnool
Pizza Wings,"Pizzas, Pastas",4.2,,250,3,"FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹199, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹399, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sector 17,Yes,Kurukshetra
Pizza Hut,Pizzas,3.9,,350,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
Pizza Galleria,"Pizzas, Italian",4.0,,350,3,"DEFAULT
FLAT ₹200 OFF
USE BUMPERDEALABOVE ₹449, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹399",Air Colony,Yes,Kurukshetra
Pizza Villa,"Pizzas, Pastas",3.4,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
Pizza King,"Pizzas, Italian",3.9,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
Hungry Hub,Pizzas,4.3,,350,3,"DEFAULT
FLAT ₹200 OFF
USE BUMPERDEALABOVE ₹449, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹399",Kurukshetra Locality,Yes,Kurukshetra
Pan Pizza,Pizzas,4.6,,200,2,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
Chicago Delights,"Italian, Pizzas",2.5,,200,3,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹399, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
Keshav Cafe,"Pizzas, Italian",4.0,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
Rana Ji Kulhad Farm House,"Pizzas, Pastas",3.7,,300,2,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
La-Casa Pizza,"Pizzas, Italian",4.7,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Vishnu Colony,Yes,Kurukshetra
The Pizza Perfect,"Pizzas, Italian",3.6,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
Pizza Bite Bar,"Pizzas, Pastas",4.4,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
The Music House,"Pizzas, Chinese",5.0,,250,2,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Thanesar,Yes,Kurukshetra
The Best Pizza Point,"Pizzas, Italian",4.1,,200,2,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
Discount Pizza,Pizzas,4.0,,200,2,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
Noor Barcelos Grill,"Chinese, Pizzas",4.4,,400,2,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,No,Kurukshetra
Brown Pizza,"Pizzas, Indian",4.1,,300,0,,Air Colony,Yes,Kurukshetra
Pizza Maker,"Pizzas, Italian",3.6,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,No,Kurukshetra
Molto Pizza,"Pizzas, Chinese",4.1,,200,4,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, DEFAULT
FLAT ₹200 OFF
USE BUMPERDEALABOVE ₹449, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹399",Air Colony,Yes,Kurukshetra
A Emporter,"Italian-American, Pizzas",3.8,,400,2,"DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹399, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
Taste Of Tibet,"Pizzas, American",5.0,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
New Pizza King,"Pizzas, Italian",3.5,,200,3,"FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹900, SAVE BIG
15% OFF UPTO ₹100
USE JUMBOABOVE ₹375, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
American Burgers,"American, Pizzas",4.6,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sector 5,Yes,Kurukshetra
Grilled Master,"Pizzas, Italian",4.6,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sector 5,Yes,Kurukshetra
Jatts Pizza,"Pizzas, Italian-American",3.7,,250,3,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹399, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Air Colony,Yes,Kurukshetra
Domino'S Pizza,"Pizzas, Italian",4.2,,400,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Kurukshetra,No,Kurukshetra
Penguin Bake House,"Pizzas, American",3.1,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Kushalnagar Locality,No,Kushalnagar
Domino'S Pizza,"Pizzas, Italian",4.5,,400,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Kushalnagar Locality,No,Kushalnagar
Domino'S Pizza,"Pizzas, Italian",4.5,,400,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bhadur Nagar,No,Lakhimpur
Pizza Town 31,"Pizzas, Burgers",4.3,,200,2,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹129, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Maharaj Nagar,Yes,Lakhimpur
Hide In Pizza,"Pizzas, Burgers",4.0,,250,2,"DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹349, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bhadur Nagar,Yes,Lakhimpur
Puffizza,"Pizzas, Chinese",3.7,,250,2,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Punjabi Colony,Yes,Lakhimpur
Go 69 Pizza,Pizzas,3.7,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bhadur Nagar,Yes,Lakhimpur
Delighted Pizza,"Pizzas, Burgers",4.2,,300,2,"DEFAULT
FLAT ₹175 OFF
USE MEGASAVERABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Khaprel Bazar,Yes,Lakhimpur
Liked Pizza Plus,"Pizzas, Fast Food",4.1,,250,2,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bhadur Nagar,Yes,Lakhimpur
Ice N Spice Cafe And Restaurant,"Pizzas, Fast Food",4.3,,199,2,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹129, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bhadur Nagar,No,Lakhimpur
Pizza Guyzz,"Pizzas, Burgers",4.0,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bhadur Nagar,No,Lakhimpur
Desi Spice,Pizzas,3.6,,200,4,"FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹900, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
20% OFF UPTO ₹120
USE JUMBOABOVE ₹400, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bhadur Nagar,Yes,Lakhimpur
Pizza Point,"Pizzas, Burgers",4.3,,200,2,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",BANSHIPURA,Yes,Lalitpur
Brooklyn Pizza,"Pizzas, Burgers",4.2,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Azadpura,Yes,Lalitpur
Cafe Land,"Cafe, Pizzas",4.0,,250,2,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Azadpura,Yes,Lalitpur
Aj'S94 Pizzeria Yard,"Burgers, Pizzas",4.7,,199,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Civil Lines,Yes,Lalitpur
The Pizza House,"Pizzas, Burgers",3.7,,220,4,"60% OFF UPTO ₹120
USE SPECIALSON SELECT ITEMS, Free Chikoo Juice
NO CODE REQUIREDABOVE ₹399, FLAT DEAL
FLAT ₹175 OFF
USE FLATDEALABOVE ₹400, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gandhi Chowk,Yes,Latur
Morya Sweets & Bakers,"Desserts, Pizzas",3.5,,200,2,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Latur Locality,No,Latur
Pizza Hut,Pizzas,4.2,,750,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ausa Road,No,Latur
R&R Cafe - Real And Rare,"Cafe, Pizzas",4.5,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sawe Wadi,Yes,Latur
Tom And Jerry Cake Cafe Dessert,"Fast Food, Pizzas",4.3,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gandhi Chowk,Yes,Latur
Sip On,Pizzas,4.8,,250,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ausa Road,Yes,Latur
Domino'S Pizza,"Pizzas, Italian",4.1,,400,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ausa Road,No,Latur
Bhoj Palace,"Pizzas, Beverages",2.7,,150,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ausa Road,Yes,Latur
The Dream Cafe And Foods,"Fast Food, Pizzas",4.0,,200,2,"FLAT DEAL
FLAT ₹50 OFF
USE FLATDEALABOVE ₹199, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ausa Road,Yes,Latur
Smokin Joe'S Fresh Pizzas,Pizzas,3.9,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Galaxy Mall,No,Latur
Hotel Gangotri (Bhauji),"Chinese, Pizzas",3.1,,400,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ausa Road,No,Latur
SUKH SAGAR Fastfood & ICE CREAM PARLOR,"Fast Food, Pizzas",4.2,,250,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gandhi Chowk,Yes,Latur
Grill Inn,"Fast Food, Pizzas",4.4,,250,2,"FLAT 10% OFF
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ausa Road,Yes,Latur
Rangoon Chowpatty,"Fast Food, Pizzas",4.3,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Nandi Stop,No,Latur
Coffee Katta,"Beverages, Pizzas",4.3,,200,4,"40% OFF UPTO ₹80
USE SPECIALSON SELECT ITEMS, 20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹300, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Tuition Area,No,Latur
Celebrations The Coffee Shop,Pizzas,2.8,,100,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ausa Road,Yes,Latur
The Pizzeria,"Pizzas, Snacks",3.2,,150,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Lonavala,No,Lonavla
Pizza Xprs,"Pizzas, Beverages",3.0,,400,2,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Lonavala,No,Lonavla
Domino'S Pizza,"Pizzas, Italian",4.2,,400,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Lonavala,No,Lonavla
La Pino'Z Pizza,"Pizzas, Pastas",4.1,,350,5,"FLAT DEAL
FLAT ₹125 OFF
USE BFBINGEABOVE ₹249, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹500, SAVE BIG
25% OFF UPTO ₹125
USE JUMBOABOVE ₹400, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",SHALIMAR GATEWAY MALL,No,Lucknow
Mami'S Kitchen,"North Indian, Pizzas",4.0,,100,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ashiyana,Yes,Lucknow
The Bon Bon Bakers,"Desserts, Pizzas",4.5,,300,4,"DEAL OF DAY
FLAT ₹125 OFF
USE STEALDEALABOVE ₹199, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹700, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aliganj,No,Lucknow
New Pizza Point,"Pizzas, Pastas",3.9,,200,4,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Transport Nagar,Yes,Lucknow
Pizza Junction,Pizzas,4.0,,250,2,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jagat khera Kalli Pachim,Yes,Lucknow
Supergiant Sandwiches,"Snacks, Pizzas",4.1,,200,3,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aashiana,Yes,Lucknow
Pizza Crust,"Italian, Pizzas",4.4,,150,4,"FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹249, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹700, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Vrindavan Colony Lucknow,Yes,Lucknow
Melting Point Dayal Gateway,"Chinese, Pizzas",4.2,,650,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gomti Nagar,No,Lucknow
Asiyayi Indian Premium - AIP,"Beverages, Pizzas",3.6,,200,5,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹199, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, Free freebie
NO CODE REQUIREDABOVE ₹299, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹349, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹900",Aliganj,No,Lucknow
Pizza Wala,"Pizzas, Chinese",3.8,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Rajajipuram,Yes,Lucknow
A One Bakery,"Bakery, Pizzas",4.3,,300,2,"50% OFF UPTO ₹100
USE SPECIALSON SELECT ITEMS, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aliganj,Yes,Lucknow
Dreams Pizza,"Italian, Pizzas",4.3,,249,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gomti Nagar,No,Lucknow
Paapoz Pizza & Shakes,"Pizzas, Beverages",3.3,,200,2,"FLAT DEAL
FLAT 30% OFF
USE PARTYABOVE ₹700, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mohanlalganj,Yes,Lucknow
Nepal Chinese Corner,"Chinese, Pizzas",4.1,,250,2,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gomti Nagar,No,Lucknow
Lazzizo Pizza & Cakes,"Pizzas, Bakery",3.4,,200,3,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Transport Nagar,No,Lucknow
New Pizza King,"Pizzas, Pastas",4.1,,200,4,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, 50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹125 OFF
USE BFBINGEABOVE ₹299, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Indira Nagar,No,Lucknow
24x7 BURGERS,"Fast Food, Pizzas",3.8,,250,3,"25% OFF UPTO ₹65
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",ALAMBAGH,Yes,Lucknow
Amika Bakery & Pizza Cafe,"Pizzas, Continental",3.8,,200,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹1200, FLAT DEAL
FLAT ₹50 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aashiana,Yes,Lucknow
Pizza Cafe Day,"Pizzas, Snacks",3.7,,200,5,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹199, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT ₹125 OFF
USE BFBINGEABOVE ₹299, FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹600, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹999",Nirala Nagar,No,Lucknow
Pizza,"Pizzas, Pastas",3.6,,200,2,"FLAT 40% OFF
NO CODE REQUIRED, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mahanagar,No,Lucknow
Coffee Culture,"Cafe, Pizzas",4.2,,400,2,"50% OFF UPTO ₹100
USE TRYNEWON SELECT ITEMS, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mahanagar,No,Lucknow
Burger Wala,"Burgers, Pizzas",4.3,,100,3,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 30% OFF
USE PARTYABOVE ₹600, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aliganj,No,Lucknow
Pizza Stop,"Pizzas, Indian",3.8,,280,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aliganj,Yes,Lucknow
Italian Pizza Bar And Cafe,Pizzas,3.8,,100,5,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹199, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, Free Delight
NO CODE REQUIREDABOVE ₹299, FLAT DEAL
FLAT ₹125 OFF
USE BFBINGEABOVE ₹299, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹900",Aliganj,No,Lucknow
Slice Of Heaven,"Pizzas, Fast Food",4.0,,300,2,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Duda Colony,Yes,Lucknow
The Pizza Hot,"Pizzas, Snacks",3.6,,250,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aliganj,No,Lucknow
The Outcider Cafe & Lounge,"North Indian, Pizzas",3.8,,400,4,"FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹249, 50% OFF UPTO ₹100
USE SPECIALSON SELECT ITEMS, 25% OFF UPTO ₹65
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aliganj,No,Lucknow
Mirchi Masala,"Pizzas, Chinese",4.1,,250,4,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, 50% OFF UPTO ₹100
USE TRYNEWABOVE ₹149, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹600, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Indira Nagar,Yes,Lucknow
Crusties,Pizzas,4.5,,299,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Nirala Nagar,No,Lucknow
Pizza By Romeo,"Pizzas, Pastas",3.9,,200,3,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹75 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aliganj,Yes,Lucknow
Rana Cafe,"Beverages, Pizzas",3.7,,200,3,"FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹349, FLAT 25% OFF
USE TRYNEWABOVE ₹149, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Mahanagar,No,Lucknow
One More Pizza,"Pizzas, Italian",3.3,,300,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gomti Nagar,Yes,Lucknow
GrainsNGains,"Pizzas, Pastas",4.7,,250,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Gomti Nagar,No,Lucknow
Pizza Royal,"Pizzas, Snacks",4.6,,200,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aliganj,No,Lucknow
An Pizza Club,Pizzas,4.7,,200,3,"FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹700, SAVE BIG
10% OFF UPTO ₹100
USE JUMBOABOVE ₹375, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aliganj,Yes,Lucknow
OMG Maggi Wala,"Pizzas, Burgers",3.3,,150,5,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹199, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹149, Free Delight
NO CODE REQUIREDABOVE ₹399, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹349, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹900",Indira Nagar,No,Lucknow
Domino'S Pizza,"Pizzas, Italian",4.4,,400,3,"FLAT DEAL
FLAT ₹150 OFF
USE WELCOMEDOM150ABOVE ₹299, FLAT DEAL
FLAT ₹100 OFF
USE FLAT100ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aashiana,No,Lucknow
Pizza Hut,Pizzas,4.1,,350,2,"50% OFF UPTO ₹100
USE SWIGGYITABOVE ₹189, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Aashiana,No,Lucknow
V Cafe - Meals By PVR,"Pizzas, Snacks",3.5,,400,5,"60% OFF UPTO ₹120
USE TRYNEWON SELECT ITEMS, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹499, SAVE BIG
10% OFF UPTO ₹100
USE VCAFE10ABOVE ₹300, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Alambagh,No,Lucknow
Pizza Wings,"Pizzas, Fast Food",4.3,,200,4,"DEAL OF DAY
60% OFF UPTO ₹120
USE STEALDEALABOVE ₹159, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹700, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, 60% OFF UPTO ₹120
USE TRYNEWABOVE ₹179",Ashiyana,No,Lucknow
Pizza Cave,"Italian, Pizzas",4.2,,200,4,"FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹249, 60% OFF UPTO ₹115
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹700, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Telibagh,Yes,Lucknow
Cake & Pizza Cafe,"Bakery, Pizzas",4.0,,200,2,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ashiyana,Yes,Lucknow
Burger Beans,"Pizzas, Burgers",4.0,,200,4,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹1500, SAVE BIG
20% OFF UPTO ₹100
USE JUMBOABOVE ₹450, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sadar Bazaar,No,Lucknow
Unique Baker'S,"Bakery, Pizzas",5.0,,200,2,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Telibagh,Yes,Lucknow
